Date,Brand,Title,price_full,price_soft,priceoff,Rating,Review Count
17/08/2024,Capim Clinical,Clareador Colágeno - Creme Facial 40g,"36,99","28,99",22,"0,00",0
17/08/2024,Capim Clinical,Rosa Mosqueta - Creme Facial 40g,"36,99","28,99",22,"0,00",0
17/08/2024,Fina Cut's,Power Peeling - Creme Facial Noturno 30ml,"179,90","119,90",33,"0,00",0
17/08/2024,Cosmobeauty,Creme Facial Clareador Mellan Clear Anti Melasma 30g,"590,90","290,90",51,"0,00",0
17/08/2024,Capim Clinical,Colágeno Firmador FPS 60 - Creme Facial 40g,"95,99","78,99",18,"0,00",0
17/08/2024,Benton,Snail Bee High Content Steam Cream - Creme Hidratante Facial 50g,"249,90","148,90",40,"45,00",8
17/08/2024,NIVEA,Creme Nutritivo - Hidratante Facial 100g,"34,90","30,90",11,"46,00",47
17/08/2024,NIVEA,Q10 Energy Noite - Creme Antissinais Facial 50g,"57,90","50,90",12,"44,00",14
17/08/2024,Bioderma,Hydrabio Gel-Creme - Hidratante Restaurador Facial 40ml,"156,90","147,90",6,"48,00",13
17/08/2024,Cetaphil,Optimal Hydration com Ácido Hialurônico - Creme Hidratante Facial 48g,"134,90","120,90",10,"45,00",8
17/08/2024,La Roche-Posay,Toleriane Sensitive - Creme Hidratante Facial 40ml,"149,90","134,90",10,"49,00",67
17/08/2024,NIVEA,Beleza Radiante 7 em 1 - Creme Hidratante Facial 100g,"34,90","32,90",6,"50,00",3
17/08/2024,Cetaphil,Pro AR Calm Control - Creme Hidratante Facial 50ml,"149,90","141,90",5,"50,00",2
17/08/2024,Cicatricure,Gel Creme Antissinais Diurno FPS 30 - Redutor de Linhas Facial 50g,"69,90","58,90",16,"37,00",6
17/08/2024,Profuse,Densifiant Fondant Potex - Creme Densificador Facial 30g,"288,79","199,90",31,"45,00",2
17/08/2024,Vult,Care Nutritivo - Creme Hidratante Facial 100g,"29,90","23,90",20,"47,00",24
17/08/2024,Vult,Care Antissinais - Creme Hidratante Facial 100g,"29,90","23,90",20,"46,00",28
17/08/2024,Cetaphil,Pro AR Calm Control FPS 30 - Creme Hidratante Facial com Cor 50ml,"189,90","179,90",5,"50,00",1
17/08/2024,Neutrogena,Face Care Intensive Reparador - Creme Redutor de Linhas Facial 100g,"52,90","41,90",21,"47,00",39
17/08/2024,Lecieza,- Creme Hidratante Facial 50ml,"159,90","135,90",15,"50,00",3
17/08/2024,Vult,Facial Creme Uniformizador - Hidratante Facial 100g,"29,90","23,90",20,"46,00",16
17/08/2024,ISDIN,Nutratopic Pro-AMP - Creme Hidratante Facial 50ml,"120,90","106,90",12,"47,00",3
17/08/2024,Vult,Facial Vitamina C 10% - Creme Antioxidante 30g,"59,90","47,90",20,"39,00",7
17/08/2024,Hada Labo,Gokujyun Aging Care Cream - Creme Hidratante Facial 50g,"168,90","141,10",16,"50,00",15
17/08/2024,Esthederm,Osmoclean - Creme de Limpeza Facial 75ml,"185,90","149,99",19,"50,00",8
17/08/2024,Esthederm,Excellage - Creme Redutor de Linhas Facial 50ml,"819,90","621,90",24,"50,00",5
17/08/2024,Dermotivin,Benzac Microbioma Equilibrado - Creme Hidratante Facial 50ml,"74,90","54,90",27,"46,00",16
17/08/2024,Guerlain,Orchidee Imperiale Rico - Creme Hidratante Facial 50ml,"2898,90","1448,90",50,"0,00",0
17/08/2024,Esthederm,Intensive Hyaluronic - Creme Redutor de Linhas Facial 50ml,"539,90","511,90",5,"50,00",4
17/08/2024,Peel Line,Tonific Elastin C - Creme Massageador Facial 140g,"155,90","49,80",68,"0,00",0
17/08/2024,Libbs,Umiditá Facial FPS25 - Creme Gel Hidratante 50ml,"99,90","72,99",27,"50,00",4
17/08/2024,Esthederm,Intensive Retinol - Creme Redutor de Linhas Facial 50ml,"539,90","511,90",5,"50,00",6
